"#","Chapter","Activity id","Drill / Exercise","Kind","Status","ORIGINAL Audio plays?","ORIGINAL Behavior on correct?","ORIGINAL Behavior on incorrect?","ORIGINAL Prev/Next?","TARGET audioTiming","TARGET advanceClass","TARGET Behavior on correct?","TARGET Behavior on incorrect?","TARGET Prev/Next?","TARGET pronounceEach default","Notes"
"1","1","c1_drill_letter_names","Letter Names and Sounds Drill","Drill","CONFIRMED","after clicking letter","n/a - not scored","n/a - not scored","no","afterTap","none","not scored","not scored","no","n/a","KEEP AS IS"
"2","1","c1_drill_translit","Transliteration Drill","Drill","CONFIRMED","after clicking letter","n/a - not scored","n/a - not scored","no","afterTap","none","not scored","not scored","no","n/a","KEEP AS IS"
"3","1","c1_drill_capitals","Capital Letters Drill","Drill","CONFIRMED","after clicking letter","n/a - not scored","n/a - not scored","no","afterTap","none","not scored","not scored","no","n/a","KEEP AS IS"
"4","1","c1_drill_diphthong","Diphthong Drill","Drill","CONFIRMED","after clicking letter","n/a - not scored","n/a - not scored","no","afterTap","none","not scored","not scored","no","n/a","KEEP AS IS"
"5","1","c1_drill_vocab_gk_en","Vocabulary: Greek to English Drill","Drill","CONFIRMED","before guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","beforeGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec"
"6","1","c1_drill_vocab_en_gk","Vocabulary: English to Greek Drill","Drill","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"7","1","c1_ex_pronounce","Pronounce Letters Exercise","Exercise","CONFIRMED","after 'Check answer'","n/a - not scored","n/a - not scored","yes","afterCheck","none","not scored","not scored","yes","n/a","KEEP AS IS"
"8","1","c1_ex_letter_to_name","Letter-to-Name Exercise","Exercise","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"9","1","c1_ex_name_to_letter","Name-to-Letter Exercise","Exercise","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
"10","1","c1_ex_translit","Transliterate the Letter","Exercise","CONFIRMED","after guess","mark correct/autoprogress","mark incorrect/give correct answer/autoprogress","no","afterGuess","autoBoth","auto-advance","reveal answer, auto-advance","no","yes","mark incorrect/give correct answer/autoprogress after 4 sec, correct to only play audio AFTER guess"
